,name,address,Website,Type,Size,city,state,zipcode,associates,Profit,Sector
459,Colby-Sawyer College,"541 Main St, New London, New Hampshire 03257-7835",www.colby-sawyer.edu,"4-year, Private not-for-profit",1004.0, New London,New,Hampshire 03257-7835,0,Not-For-Profit,Private
460,Colegio Biblico Pentecostal de Puerto Rico,"Road 848 Km. 0.5 Callejon Marquez, Bo. Saint Just, Trujillo Alto, Puerto Rico 00978-0901",www.cbp.edu,"4-year, Private not-for-profit",262.0, Trujillo Alto,Puerto,Rico 00978-0901,0,Not-For-Profit,Private
461,Colegio Pentecostal Mizpa,"Bo Caimito Rd 199 Km 0.3, Rio Piedras, Puerto Rico 00928",www.colmizpa.edu,"4-year, primarily associate's, Private not-for-profit",251.0, Rio Piedras,Puerto,Rico 00928,1,Not-For-Profit,Private
462,Colegio Universitario de San Juan,"180 Jose Oliver St Tres Monjitas  Ind. Park, San Juan, Puerto Rico 00918",www.cunisanjuan.edu,"4-year, primarily associate's, Public",1355.0, San Juan,Puerto,Rico 00918,1,Not-For-Profit,Private
463,Coleman University,"8888 Balboa Ave, San Diego, California 92123-1506",www.coleman.edu,"4-year, primarily associate's, Private not-for-profit",532.0, San Diego,California,92123-1506,1,Not-For-Profit,Private
464,Colgate Rochester Crozer Divinity School,"1100 S Goodman St, Rochester, New York 14620-2589",www.crcds.edu,"4-year, Private not-for-profit",77.0, Rochester,New,York 14620-2589,0,Not-For-Profit,Private
465,Colgate University,"13 Oak Dr, Hamilton, New York 13346-1398",www.colgate.edu,"4-year, Private not-for-profit",2844.0, Hamilton,New,York 13346-1398,0,Not-For-Profit,Private
466,College America-Cheyenne,"6101 Yellowstone Rd Ste 101, Cheyenne, Wyoming 82009",www.collegeamerica.edu,"4-year, primarily associate's, Private for-profit",146.0, Cheyenne,Wyoming,82009,1,For-Profit,Private
467,College America-Denver,"1385 S Colorado Blvd., 5th Floor, Denver, Colorado 80222",www.collegeamerica.edu,"4-year, primarily associate's, Private for-profit",416.0, Denver,Colorado,80222,1,For-Profit,Private
468,College America-Fort Collins,"4601 South Mason St, Fort Collins, Colorado 80525",www.collegeamerica.edu,"4-year, primarily associate's, Private for-profit",215.0, Fort Collins,Colorado,80525,1,For-Profit,Private
469,College for Creative Studies,"201 E Kirby, Detroit, Michigan 48202",www.collegeforcreativestudies.edu,"4-year, Private not-for-profit",1369.0, Detroit,Michigan,48202,0,Not-For-Profit,Private
470,College of Biblical Studies-Houston,"7000 Regency Square Blvd., Houston, Texas 77036-3211",www.cbshouston.edu,"4-year, Private not-for-profit",1005.0, Houston,Texas,77036-3211,0,Not-For-Profit,Private
471,College of Charleston,"66 George St, Charleston, South Carolina 29424-0001",www.cofc.edu,"4-year, Public",11367.0, Charleston,South,Carolina 29424-0001,0,Not-For-Profit,Private
472,College of Mount Saint Vincent,"6301 Riverdale Ave, Bronx, New York 10471-1093",www.mountsaintvincent.edu,"4-year, Private not-for-profit",1834.0, Bronx,New,York 10471-1093,0,Not-For-Profit,Private
473,College of Mount St. Joseph,"5701 Delhi Rd, Cincinnati, Ohio 45233-1670",www.msj.edu,"4-year, Private not-for-profit",2133.0, Cincinnati,Ohio,45233-1670,0,Not-For-Profit,Private
